timestamp,modo,evento,precio,detalle
2026-07-29 07:22:02,LIVE,ABRE BUY,4015.7,sl 4009.7 tp 4024.7 racha_div 2 exp_mom 95
2026-07-29 07:31:02,LIVE,CIERRE SL,4012.9,BUY entry 4015.7 pnl -61.60 (real)
2026-07-29 07:31:02,LIVE,ABRE BUY,4013.2,sl 4007.2 tp 4022.2 racha_div 2 exp_mom 174
2026-07-29 07:57:02,LIVE,CIERRE TIME(26m),4021.6,BUY entry 4013.2 pnl +68.40 (real)
2026-07-29 08:02:02,LIVE,ABRE SELL,4023.1,sl 4029.1 tp 4014.1 racha_div 2 exp_mom 67
2026-07-29 08:10:02,LIVE,CIERRE TP,4014.6,SELL entry 4023.1 pnl +88.40 (real)
2026-07-29 08:20:02,LIVE,ABRE SELL,4015.5,sl 4021.5 tp 4006.5 racha_div 2 exp_mom 21
2026-07-29 08:24:02,LIVE,CIERRE SL,4020.3,SELL entry 4015.5 pnl -67.60 (real)
2026-07-29 08:24:02,LIVE,ABRE SELL,4020.0,sl 4026.0 tp 4011.0 racha_div 2 exp_mom 106
2026-07-29 08:31:02,LIVE,CIERRE TP,4012.0,SELL entry 4020.0 pnl +88.40 (real)
2026-07-29 08:53:02,LIVE,ABRE BUY,4005.8,sl 3999.8 tp 4014.8 racha_div 2 exp_mom 89
2026-07-29 09:01:02,LIVE,CIERRE SL,4001.6,BUY entry 4005.8 pnl -64.60 (real)
2026-07-29 09:09:02,LIVE,ABRE BUY,3998.0,sl 3992.0 tp 4007.0 racha_div 2 exp_mom 53
2026-07-29 09:19:02,LIVE,CIERRE TP,4005.7,BUY entry 3998.0 pnl +87.40 (real)
2026-07-29 09:28:02,LIVE,ABRE BUY,4002.2,sl 3996.2 tp 4011.2 racha_div 2 exp_mom 258
2026-07-29 09:47:02,LIVE,CIERRE SL,3998.4,BUY entry 4002.2 pnl -65.60 (real)
2026-07-29 10:21:02,LIVE,ABRE BUY,4003.4,sl 3997.4 tp 4012.4 racha_div 2 exp_mom 40
2026-07-29 10:47:02,LIVE,CIERRE TIME(26m),4009.1,BUY entry 4003.4 pnl +48.40 (real)
2026-07-29 10:47:02,LIVE,ABRE SELL,4008.8,sl 4014.8 tp 3999.8 racha_div 3 exp_mom 27
2026-07-29 11:13:02,LIVE,CIERRE TIME(26m),4008.4,SELL entry 4008.8 pnl -9.60 (real)
2026-07-30 02:06:02,LIVE,ABRE SELL,4042.1,sl 4048.1 tp 4033.1 racha_div 2 exp_mom 2
2026-07-30 02:32:02,LIVE,CIERRE TIME(26m),4040.7,SELL entry 4042.1 pnl -5.60 (real)
2026-07-30 02:54:02,LIVE,ABRE BUY,4043.4,sl 4037.4 tp 4052.4 racha_div 2 exp_mom 0
2026-07-30 02:56:02,LIVE,CIERRE SL,4037.6,BUY entry 4043.4 pnl -60.60 (real)
2026-07-30 03:01:02,LIVE,ABRE BUY,4036.2,sl 4030.2 tp 4045.2 racha_div 2 exp_mom 16
2026-07-30 03:06:02,LIVE,CIERRE TP,4046.1,BUY entry 4036.2 pnl +88.40 (real)
2026-07-30 03:07:02,LIVE,ABRE SELL,4048.5,sl 4054.5 tp 4039.5 racha_div 2 exp_mom 17
2026-07-30 03:20:02,LIVE,CIERRE SL,4054.7,SELL entry 4048.5 pnl -65.60 (real)
2026-07-30 03:50:02,LIVE,ABRE BUY,4061.8,sl 4055.8 tp 4070.8 racha_div 2 exp_mom 1
2026-07-30 04:16:02,LIVE,CIERRE TIME(26m),4062.7,BUY entry 4061.8 pnl +4.40 (real)
2026-07-30 04:23:02,LIVE,ABRE SELL,4067.4,sl 4073.4 tp 4058.4 racha_div 2 exp_mom 37
2026-07-30 04:49:02,LIVE,CIERRE TIME(26m),4064.7,SELL entry 4067.4 pnl +26.40 (real)
2026-07-30 05:12:02,LIVE,ABRE SELL,4066.7,sl 4072.7 tp 4057.7 racha_div 2 exp_mom 0
2026-07-30 05:17:02,LIVE,CIERRE SL,4072.3,SELL entry 4066.7 pnl -89.60 (real)
2026-07-30 05:26:02,LIVE,ABRE SELL,4074.1,sl 4080.1 tp 4065.1 racha_div 2 exp_mom 2
2026-07-30 05:46:02,LIVE,CIERRE SL,4079.9,SELL entry 4074.1 pnl -73.60 (real)
2026-07-30 05:46:02,LIVE,ABRE SELL,4079.8,sl 4085.8 tp 4070.8 racha_div 13 exp_mom 0
2026-07-30 06:12:02,LIVE,CIERRE TIME(26m),4079.9,SELL entry 4079.8 pnl -2.60 (real)
2026-07-30 06:12:02,LIVE,ABRE SELL,4079.6,sl 4085.6 tp 4070.6 racha_div 6 exp_mom 7
2026-07-30 06:38:02,LIVE,CIERRE TIME(26m),4076.0,SELL entry 4079.6 pnl +33.40 (real)
2026-07-30 06:41:02,LIVE,ABRE SELL,4075.8,sl 4081.8 tp 4066.8 racha_div 2 exp_mom 9
2026-07-30 07:07:02,LIVE,CIERRE TIME(26m),4079.8,SELL entry 4075.8 pnl -24.60 (real)
2026-07-30 07:15:02,LIVE,CAL_BLOCK,4076.0,señal BUY bloqueada: Advance GDP q/q 07:30
2026-07-30 08:10:02,LIVE,ABRE SELL,4071.2,sl 4077.2 tp 4062.2 racha_div 2 exp_mom 273
2026-07-30 08:22:02,LIVE,CIERRE SL,4077.1,SELL entry 4071.2 pnl -64.60 (real)
2026-07-30 08:24:02,LIVE,ABRE SELL,4078.6,sl 4084.6 tp 4069.6 racha_div 2 exp_mom 63
2026-07-30 08:38:02,LIVE,CIERRE SL,4091.1,SELL entry 4078.6 pnl -62.60 (real)
2026-07-30 08:39:02,LIVE,ABRE SELL,4094.0,sl 4100.0 tp 4085.0 racha_div 2 exp_mom 64
2026-07-30 08:40:02,LIVE,CIERRE TP,4086.9,SELL entry 4094.0 pnl +88.40 (real)
2026-07-30 08:55:02,LIVE,ABRE SELL,4100.7,sl 4106.7 tp 4091.7 racha_div 2 exp_mom 8
